Region,Age,Year,Total_Deaths
01,12,2021,4
01,12,2022,1
01,12,2023,1
01,13,2000,5
01,13,2001,2
01,13,2002,0
01,13,2003,0
01,13,2004,3
01,13,2005,2
01,13,2006,2
01,13,2007,3
01,13,2008,3
01,13,2009,2
01,13,2010,1
01,13,2011,2
01,13,2012,3
01,13,2013,0
01,13,2014,1
01,13,2015,1
01,13,2016,3
01,13,2017,2
01,13,2018,3
01,13,2019,3
01,13,2020,4
01,13,2021,3
01,13,2022,2
01,13,2023,5
01,14,2000,4
01,14,2001,1
01,14,2002,0
01,14,2003,2
01,14,2004,5
01,14,2005,2
01,14,2006,1
01,14,2007,1
01,14,2008,3
01,14,2009,2
01,14,2010,2
01,14,2011,1
01,14,2012,4
01,14,2013,1
01,14,2014,0
01,14,2015,2
01,14,2016,2
01,14,2017,1
01,14,2018,4
01,14,2019,3
01,14,2020,4
01,14,2021,4
01,14,2022,5
01,14,2023,7
01,15,2000,7
01,15,2001,3
01,15,2002,5
01,15,2003,6
01,15,2004,6
01,15,2005,5
01,15,2006,2
01,15,2007,5
01,15,2008,4
01,15,2009,5
01,15,2010,4
01,15,2011,5
01,15,2012,4
01,15,2013,2
01,15,2014,2
01,15,2015,2
01,15,2016,3
01,15,2017,3
01,15,2018,1
01,15,2019,3
01,15,2020,5
01,15,2021,0
01,15,2022,4
01,15,2023,4
01,16,2000,5
01,16,2001,0
01,16,2002,3
01,16,2003,6
01,16,2004,2
01,16,2005,6
01,16,2006,10
01,16,2007,4
01,16,2008,2
01,16,2009,6
01,16,2010,4
01,16,2011,2
01,16,2012,2
01,16,2013,1
01,16,2014,3
01,16,2015,8
01,16,2016,1
01,16,2017,0
01,16,2018,1
01,16,2019,4
01,16,2020,5
01,16,2021,1
01,16,2022,2
01,16,2023,8
01,17,2000,2
01,17,2001,5
01,17,2002,4
01,17,2003,7
01,17,2004,1
01,17,2005,5
01,17,2006,8
01,17,2007,4
01,17,2008,5
01,17,2009,3
01,17,2010,7
01,17,2011,5
01,17,2012,6
01,17,2013,8
01,17,2014,2
01,17,2015,5
01,17,2016,5
01,17,2017,4
01,17,2018,5
01,17,2019,4
01,17,2020,4
01,17,2021,7
01,17,2022,6
01,17,2023,2
01,18,2000,3
01,18,2001,9
01,18,2002,2
01,18,2003,5
01,18,2004,6
01,18,2005,8
01,18,2006,2
01,18,2007,1
01,18,2008,7
01,18,2009,4
01,18,2010,7
01,18,2011,8
01,18,2012,5
01,18,2013,4
01,18,2014,5
01,18,2015,4
01,18,2016,4
01,18,2017,8
01,18,2018,10
01,18,2019,7
01,18,2020,11
01,18,2021,6
01,18,2022,3
01,18,2023,7
01,19,2000,15
01,19,2001,6
01,19,2002,4
01,19,2003,3
01,19,2004,10
01,19,2005,9
01,19,2006,7
01,19,2007,12
01,19,2008,3
01,19,2009,6
01,19,2010,12
01,19,2011,5
01,19,2012,8
01,19,2013,4
01,19,2014,8
01,19,2015,10
01,19,2016,6
01,19,2017,5
01,19,2018,9
01,19,2019,7
01,19,2020,9
01,19,2021,12
01,19,2022,12
01,19,2023,9
03,0,2000,10
03,0,2001,18
03,0,2002,12
03,0,2003,8
03,0,2004,7
03,0,2005,6
03,0,2006,6
03,0,2007,8
03,0,2008,9
03,0,2009,13
03,0,2010,9
03,0,2011,8
03,0,2012,14
03,0,2013,15
03,0,2014,9
03,0,2015,5
03,0,2016,4
03,0,2017,8
03,0,2018,8
03,0,2019,6
03,0,2020,14
03,0,2021,6
03,0,2022,13
03,0,2023,7
03,1,2000,1
03,1,2001,1
03,1,2002,2
03,1,2003,0
03,1,2004,2
03,1,2005,5
03,1,2006,1
03,1,2007,1
03,1,2008,4
03,1,2009,3
03,1,2010,3
03,1,2011,1
03,1,2012,0
03,1,2013,3
03,1,2014,2
03,1,2015,2
03,1,2016,1
03,1,2017,2
03,1,2018,1
03,1,2019,2
03,1,2020,1
03,1,2021,2
03,1,2022,2
03,1,2023,2
03,2,2000,0
03,2,2001,1
03,2,2002,0
03,2,2003,0
03,2,2004,1
03,2,2005,2
03,2,2006,1
03,2,2007,1
03,2,2008,0
03,2,2009,1
03,2,2010,1
03,2,2011,0
03,2,2012,1
03,2,2013,0
03,2,2014,1
03,2,2015,0
03,2,2016,2
03,2,2017,1
03,2,2018,0
03,2,2019,0
03,2,2020,1
03,2,2021,2
03,2,2022,1
03,2,2023,0
03,3,2000,0
03,3,2001,0
03,3,2002,4
03,3,2003,2
03,3,2004,0
03,3,2005,1
03,3,2006,1
03,3,2007,0
03,3,2008,0
03,3,2009,0
03,3,2010,0
03,3,2011,0
03,3,2012,2
03,3,2013,0
03,3,2014,0
03,3,2015,0
03,3,2016,0
03,3,2017,0
03,3,2018,0
03,3,2019,1
03,3,2020,0
03,3,2021,0
03,3,2022,1
03,3,2023,1
03,4,2000,0
03,4,2001,0
