Region,Age,Year,Total_Population
01,0,1968,19736
01,0,1969,19351
01,0,1970,20840
01,0,1971,22142
01,0,1972,22099
01,0,1973,20803
01,0,1974,20508
01,0,1975,18994
01,0,1976,18510
01,0,1977,17873
01,0,1978,17563
01,0,1979,18399
01,0,1980,19015
01,0,1981,18109
01,0,1982,17925
01,0,1983,17605
01,0,1984,18368
01,0,1985,19301
01,0,1986,20565
01,0,1987,21394
01,0,1988,22969
01,0,1989,23673
01,0,1990,25173
01,0,1991,24749
01,0,1992,25442
01,0,1993,24654
01,0,1994,24313
01,0,1995,22486
01,0,1996,21262
01,0,1997,20572
01,0,1998,20816
01,0,1999,20829
01,0,2000,21817
01,0,2001,22507
01,0,2002,23908
01,0,2003,24832
01,0,2004,25640
01,0,2005,25735
01,0,2006,26942
01,0,2007,27342
01,0,2008,27908
01,0,2009,28527
01,0,2010,29578
01,0,2011,28583
01,0,2012,28886
01,0,2013,29512
01,0,2014,29607
01,0,2015,29430
01,0,2016,29626
01,0,2017,28938
01,0,2018,28798
01,0,2019,28474
01,0,2020,28384
01,0,2021,28880
01,0,2022,26271
01,0,2023,25802
01,1,1968,21741
01,1,1969,20242
01,1,1970,19771
01,1,1971,20818
01,1,1972,22055
01,1,1973,21584
01,1,1974,20552
01,1,1975,20344
01,1,1976,18948
01,1,1977,18473
01,1,1978,17803
01,1,1979,17416
01,1,1980,18163
01,1,1981,18921
01,1,1982,18077
01,1,1983,17806
01,1,1984,17556
01,1,1985,18411
01,1,1986,19370
01,1,1987,20470
01,1,1988,21133
01,1,1989,22578
01,1,1990,23342
01,1,1991,24927
01,1,1992,24768
01,1,1993,25420
01,1,1994,24734
01,1,1995,24374
01,1,1996,22501
01,1,1997,21369
01,1,1998,20606
01,1,1999,20875
01,1,2000,20855
01,1,2001,21744
01,1,2002,22439
01,1,2003,23837
01,1,2004,24785
01,1,2005,25638
01,1,2006,25827
01,1,2007,27011
01,1,2008,27528
01,1,2009,28062
01,1,2010,28734
01,1,2011,29750
01,1,2012,28667
01,1,2013,28977
01,1,2014,29483
01,1,2015,29761
01,1,2016,29599
01,1,2017,29859
01,1,2018,29201
01,1,2019,29033
01,1,2020,28417
01,1,2021,28288
01,1,2022,28872
01,1,2023,26337
01,2,1968,21824
01,2,1969,22071
01,2,1970,20477
01,2,1971,19670
01,2,1972,20515
01,2,1973,21710
01,2,1974,21218
01,2,1975,20323
01,2,1976,20304
01,2,1977,18929
01,2,1978,18335
